comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
12050,2024.0,1422123,GT v MI,GT,MI,GT,1,3,5,0,"Pandya to Shubman Gill, no run",False,False,False,1070173,Shubman Gill,11,8,625371,Hardik Pandya,1.5,0,20,0,279810,Wriddhiman Saha,15,9,573170.0,Luke Wood,1.0,0.0,6.0,0.0,,,,,,,False,good length ball on off. Gill closes the bat's face to knock it leg side. Ball hits the edge of the bat and goes instead to short third,,
12060,2024.0,1422123,GT v MI,GT,MI,GT,1,3,6,0,"Pandya to Shubman Gill, no run",False,False,False,1070173,Shubman Gill,11,9,625371,Hardik Pandya,2.0,0,20,0,279810,Wriddhiman Saha,15,9,573170.0,Luke Wood,1.0,0.0,6.0,0.0,,,,,,,False,good length ball around off and Gill ends up working a shot towards cover's right. Saha wants one but Gill turns him down. Decent comeback from Hardik after conceding eight off two balls,,
13010,2024.0,1422123,GT v MI,GT,MI,GT,1,4,1,0,"Bumrah to Saha, no run",False,False,False,279810,Wriddhiman Saha,15,10,625383,Jasprit Bumrah,0.1,0,0,0,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,,,,,,,False,short of good length ball angling into middle stump. Doesn't get the bounce that's expected from that length. Fended to the leg side,"<p></p>

<p>Here's Bumrah. We didn't see him in IPL 2023, remember.</p>",
13020,2024.0,1422123,GT v MI,GT,MI,GT,1,4,2,0,"Bumrah to Saha, no run",False,False,False,279810,Wriddhiman Saha,15,11,625383,Jasprit Bumrah,0.2,0,0,0,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,,,,,,,False,Bumrah charges in hard but the release is a change-of-pace delivery on a good length. Saha was getting forward to drive but checks it after seeing Bumrah's variation. Fended,,
13030,2024.0,1422123,GT v MI,GT,MI,GT,1,4,3,0,"Bumrah to Saha, no run",False,False,False,279810,Wriddhiman Saha,15,12,625383,Jasprit Bumrah,0.3,0,0,0,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,,,,,,,False,"short of good length delivery that angles into Saha's body. He rides the bounce and fends from near his chest onto the deck. Ball rolls away towards Bumrah, who picks it up with a smile. Three dots",,
13040,2024.0,1422123,GT v MI,GT,MI,GT,1,4,4,4,"Bumrah to Saha, FOUR",True,False,False,279810,Wriddhiman Saha,19,13,625383,Jasprit Bumrah,0.4,0,4,0,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,,,,,,,False,"<B>chipped!</b> Saha tentatively lofts this good length ball, but ensured he was committed enough to do a followthrough. Off the bat's sweet spot, and it lobs over cover for four. This was the slower ball again",,
13050,2024.0,1422123,GT v MI,GT,MI,GT,1,4,5,0,"Bumrah to Saha, no run",False,False,False,279810,Wriddhiman Saha,19,14,625383,Jasprit Bumrah,0.5,0,4,0,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,,,,,,,False,full ball on off and Saha tries to go across the line and flick square. Inside-edged onto the pad,,
13060,2024.0,1422123,GT v MI,GT,MI,GT,1,4,6,0,"Bumrah to Saha, OUT",False,False,False,279810,Wriddhiman Saha,19,15,625383,Jasprit Bumrah,1.0,0,4,1,1070173,Shubman Gill,11,9,625371.0,Hardik Pandya,2.0,0.0,20.0,0.0,279810.0,Wriddhiman Saha,Jasprit Bumrah,19.0,15.0,WP Saha  b Bumrah 19 (18m 15b 4x4 0x6) SR: 126.66,False,"<B>And you wonder why he didn't open the bowling!</b> Yorker from wide of the crease, and it is searing into the base of off and middle. Saha is wrongfooted and he cannot bring the bat down in time. The poles light up and Saha is gone.",,"<p>Afeef: ""When Rohit was captain, he would also hold Bumrah back most of the time instead of giving him the first over. This is pretty normal to have him bowl his first over in the 4th or 5th over of the innings."" -- you are right but there was someone of his calibre at the other end that time. Boult, for eg.</p>"
14010,2024.0,1422123,GT v MI,GT,MI,GT,1,5,1,1,"Mulani to Shubman Gill, 1 run",False,False,False,1070173,Shubman Gill,12,10,1131607,Shams Mulani,0.1,0,1,0,1151288,Sai Sudharsan,0,0,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,length ball around off stump. Tucked the legspinner to the off side for a single,"<p>Mulani, fresh off a Ranji Trophy win.</p>",
14020,2024.0,1422123,GT v MI,GT,MI,GT,1,5,2,1,"Mulani to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,1,1,1131607,Shams Mulani,0.2,0,2,0,1070173,Shubman Gill,12,10,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,over the stumps to the left-hander. Full ball just outside off. Turning in. Worked off his pads to the leg side,,
